file_name,is_Application_Info_empty
7173-311.json,True
42750-74.json,True
101563-85.json,False
55467-14.json,False
92513-6.json,True
83529-124.json,False
91234-22.json,False
3525-180.json,True
100485-3.json,False
64661-1.json,False
46043-2.json,True
19713-544.json,False
71693-3.json,False
39967-111.json,True
88165-4.json,True
101563-148.json,True
71995-7.json,False
675-30.json,True
270-304.json,True
71227-1.json,True
39967-76.json,True
67071-102.json,True
707-256.json,True
89110-9.json,True
264-678.json,False
46781-17.json,True
3573-54.json,True
2749-516.json,True
121-56.json,True
80285-6.json,True
98774-3.json,True
61887-2.json,True
279-9594.json,True
62719-751.json,True
352-838.json,False
9150-7.json,True
70051-65.json,False
707-313.json,True
83997-8.json,True
239-2718.json,False
33025-5.json,True
70905-1.json,False
39039-14.json,True
60063-62.json,False
34704-885.json,False
2517-100.json,True
1021-2606.json,True
34704-1058.json,False
71368-105.json,True
59639-156.json,True
13799-20.json,True
91234-208.json,False
89168-64.json,False
87373-33.json,False
73049-26.json,True
93930-46.json,False
54705-13.json,True
1021-1753.json,True
62719-182.json,True
7969-418.json,True
83529-90.json,False
670-1.json,True
87290-50.json,False
33270-23.json,True
93807-1.json,True
8033-100.json,True
101563-324.json,True
91234-121.json,True
45002-30.json,True
1839-249.json,True
71840-19.json,False
45168-5.json,True
10324-45.json,True
5481-427.json,False
72500-14.json,True
83529-348.json,True
2724-838.json,True
82534-6.json,True
228-498.json,True
92188-6.json,False
55146-102.json,False
241-428.json,True
5481-562.json,True
70506-623.json,True
53883-427.json,True
881-12.json,True
464-660.json,True
92564-24.json,False
84229-24.json,True
83019-1.json,True
87865-5.json,False
67702-3.json,False
264-802.json,True
5741-3.json,True
89167-57.json,True
70506-273.json,False
81927-41.json,True
71368-30.json,True
73079-2.json,True
538-175.json,True
9688-258.json,True
100908-1.json,True
279-9652.json,False
89459-59.json,True
101563-261.json,True
1706-170.json,True
34704-610.json,False
2517-97.json,True
62719-643.json,True
9688-126.json,True
909-92.json,False
86330-12.json,False
279-3571.json,False
62190-31.json,True
39967-21.json,True
47893-3.json,False
7969-273.json,False
10324-230.json,True
498-182.json,False
90866-25.json,False
19713-513.json,True
1381-189.json,True
39967-146.json,True
93771-1.json,False
5383-130.json,True
